Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Total Price ,Sales,,Total Revenue-,,307587.38
Female,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10,20.825,437.325,416.5,,,,
Female,381-20-0914,A,Yangon,Member,Fashion accessories,20.01,9,9.1945,189.2845,180.09,,,,
Female,829-49-1914,C,Naypyitaw,Member,Food and beverages,78.31,10,39.155,822.255,783.1,,,,
Female,756-01-7507,C,Naypyitaw,Normal,Health and beauty,20.38,5,5.095,106.995,101.9,,,,
Female,870-72-4431,C,Naypyitaw,Normal,Health and beauty,99.19,6,29.757,624.897,595.14,,,,
Female,847-38-7188,B,Mandalay,Normal,Food and beverages,96.68,3,14.502,304.542,290.04,,,,
Female,787-56-0757,C,Naypyitaw,Member,Food and beverages,80.36,4,16.072,337.512,321.44,,,,
Female,730-50-9884,C,Naypyitaw,Normal,Sports and travel,83.06,7,29.071,610.491,581.42,,,,
Female,318-68-5053,B,Mandalay,Normal,Health and beauty,76.99,6,23.097,485.037,461.94,,,,
Female,565-80-5980,C,Naypyitaw,Member,Home and lifestyle,47.38,4,9.476,198.996,189.52,,,,
Female,225-32-0908,C,Naypyitaw,Normal,Sports and travel,44.86,10,22.43,471.03,448.6,,,,
Female,873-51-0671,A,Yangon,Member,Sports and travel,21.98,7,7.693,161.553,153.86,,,,
Female,871-39-9221,C,Naypyitaw,Normal,Electronic accessories,12.45,6,3.735,78.435,74.7,,,,
Female,551-21-3069,C,Naypyitaw,Normal,Electronic accessories,23.07,9,10.3815,218.0115,207.63,,,,
Female,588-01-7461,C,Naypyitaw,Normal,Food and beverages,33.98,9,15.291,321.111,305.82,,,,
Female,479-26-8945,B,Mandalay,Member,Sports and travel,16.49,2,1.649,34.629,32.98,,,,
Female,210-67-5886,C,Naypyitaw,Member,Health and beauty,98.21,3,147.315,441.945,294.63,,,,
Female,227-78-1148,B,Mandalay,Normal,Fashion accessories,72.84,7,25.494,535.374,509.88,,,,
Female,237-01-6122,C,Naypyitaw,Member,Home and lifestyle,80.79,9,363.555,1090.665,727.11,,,,
Female,225-98-1496,C,Naypyitaw,Normal,Fashion accessories,27.02,3,4.053,85.113,81.06,,,,
Female,642-32-2990,A,Yangon,Normal,Food and beverages,10.96,10,5.48,115.08,109.6,,,,
Female,638-60-7125,A,Yangon,Normal,Electronic accessories,99.56,8,39.824,836.304,796.48,,,,
Female,268-27-6179,B,Mandalay,Member,Fashion accessories,56.47,8,22.588,474.348,451.76,,,,
Female,668-90-8900,A,Yangon,Normal,Home and lifestyle,93.69,7,327.915,983.745,655.83,,,,
Female,870-54-3162,A,Yangon,Normal,Sports and travel,32.25,5,8.0625,169.3125,161.25,,,,
Female,189-08-9157,C,Naypyitaw,Normal,Fashion accessories,31.73,9,142.785,428.355,285.57,,,,
Female,663-86-9076,C,Naypyitaw,Member,Food and beverages,68.54,8,27.416,575.736,548.32,,,,
Female,549-84-7482,B,Mandalay,Normal,Sports and travel,90.28,9,40.626,853.146,812.52,,,,
Female,191-10-6171,B,Mandalay,Normal,Fashion accessories,39.62,7,13.867,291.207,277.34,,,,
Female,802-70-5316,A,Yangon,Member,Sports and travel,92.13,6,27.639,580.419,552.78,,,,
Female,695-51-0018,B,Mandalay,Normal,Sports and travel,34.84,4,6.968,146.328,139.36,,,,
Female,483-71-1164,C,Naypyitaw,Normal,Health and beauty,81.3,6,24.39,512.19,487.8,,,,
Female,700-81-1757,A,Yangon,Normal,Electronic accessories,26.31,5,6.5775,138.1275,131.55,,,,
Female,354-39-5160,A,Yangon,Member,Home and lifestyle,34.42,6,10.326,216.846,206.52,,,,
Female,731-81-9469,C,Naypyitaw,Member,Sports and travel,89.8,10,44.9,942.9,898,,,,
Female,338-65-2210,C,Naypyitaw,Member,Health and beauty,68.6,10,34.3,720.3,686,,,,
Female,488-25-4221,C,Naypyitaw,Member,Food and beverages,30.41,1,1.5205,31.9305,30.41,,,,
Female,239-10-7476,A,Yangon,Normal,Home and lifestyle,77.95,6,23.385,491.085,467.7,,,,
Female,458-41-1477,C,Naypyitaw,Normal,Health and beauty,46.26,6,13.878,291.438,277.56,,,,
Female,685-64-1609,A,Yangon,Member,Fashion accessories,30.14,10,15.07,316.47,301.4,,,,
Female,608-96-3517,B,Mandalay,Member,Fashion accessories,91.54,4,18.308,384.468,366.16,,,,
Female,214-17-6927,C,Naypyitaw,Normal,Food and beverages,16.48,6,4.944,103.824,98.88,,,,
Female,400-89-4171,C,Naypyitaw,Normal,Sports and travel,80.97,8,32.388,680.148,647.76,,,,
Female,894-41-5205,C,Naypyitaw,Normal,Food and beverages,43.18,8,17.272,362.712,345.44,,,,
Female,139-52-2867,C,Naypyitaw,Normal,Fashion accessories,22.51,7,7.8785,165.4485,157.57,,,,
Female,586-25-0848,A,Yangon,Normal,Sports and travel,12.34,7,4.319,90.699,86.38,,,,
Female,305-14-0245,B,Mandalay,Member,Home and lifestyle,94.49,8,37.796,793.716,755.92,,,,
Female,593-65-1552,C,Naypyitaw,Normal,Home and lifestyle,69.81,4,13.962,293.202,279.24,,,,
Female,284-34-9626,B,Mandalay,Normal,Home and lifestyle,77.04,3,11.556,242.676,231.12,,,,
Female,437-58-8131,B,Mandalay,Normal,Fashion accessories,73.52,2,7.352,154.392,147.04,,,,
Female,286-43-6208,C,Naypyitaw,Normal,Food and beverages,87.8,9,39.51,829.71,790.2,,,,
Female,556-86-3144,C,Naypyitaw,Member,Fashion accessories,74.29,1,3.7145,78.0045,74.29,,,,
Female,856-22-8149,A,Yangon,Normal,Home and lifestyle,25.29,1,1.2645,26.5545,25.29,,,,
Female,420-11-4919,C,Naypyitaw,Member,Food and beverages,71.39,5,178.475,535.425,356.95,,,,
Female,606-80-4905,C,Naypyitaw,Member,Sports and travel,19.15,6,5.745,120.645,114.9,,,,
Female,542-41-0513,B,Mandalay,Member,Electronic accessories,57.49,4,11.498,241.458,229.96,,,,
Female,749-24-1565,A,Yangon,Normal,Health and beauty,23.03,9,10.3635,217.6335,207.27,,,,
Female,672-51-8681,C,Naypyitaw,Member,Electronic accessories,66.65,9,299.925,899.775,599.85,,,,
Female,263-87-5680,C,Naypyitaw,Member,Home and lifestyle,28.53,10,14.265,299.565,285.3,,,,
Female,573-58-9734,B,Mandalay,Normal,Fashion accessories,30.37,3,4.5555,95.6655,91.11,,,,
Female,817-69-8206,B,Mandalay,Normal,Electronic accessories,99.73,9,448.785,1346.355,897.57,,,,
Female,677-11-0152,C,Naypyitaw,Normal,Food and beverages,93.26,9,41.967,881.307,839.34,,,,
Female,891-58-8335,B,Mandalay,Member,Sports and travel,29.61,7,10.3635,217.6335,207.27,,,,
Female,560-30-5617,B,Mandalay,Normal,Sports and travel,24.77,5,6.1925,130.0425,123.85,,,,
Female,319-74-2561,A,Yangon,Member,Electronic accessories,94.64,3,14.196,298.116,283.92,,,,
Female,790-29-1172,B,Mandalay,Normal,Food and beverages,57.34,3,8.601,180.621,172.02,,,,
Female,279-62-1445,C,Naypyitaw,Member,Fashion accessories,12.54,1,627,639.54,12.54,,,,
Female,746-68-6593,C,Naypyitaw,Member,Sports and travel,87.16,2,8.716,183.036,174.32,,,,
Female,466-61-5506,B,Mandalay,Member,Electronic accessories,90.7,6,27.21,571.41,544.2,,,,
Female,721-86-6247,A,Yangon,Normal,Home and lifestyle,63.42,8,25.368,532.728,507.36,,,,
Female,289-65-5721,B,Mandalay,Normal,Fashion accessories,81.37,2,8.137,170.877,162.74,,,,
Female,545-46-3100,B,Mandalay,Member,Electronic accessories,10.59,3,1.5885,33.3585,31.77,,,,
Female,418-02-5978,B,Mandalay,Normal,Health and beauty,84.09,9,378.405,1135.215,756.81,,,,
Female,645-78-8093,A,Yangon,Normal,Sports and travel,93.14,2,9.314,195.594,186.28,,,,
Female,755-12-3214,C,Naypyitaw,Member,Fashion accessories,44.22,5,11.055,232.155,221.1,,,,
Female,346-84-3103,B,Mandalay,Member,Electronic accessories,13.22,5,3.305,69.405,66.1,,,,
Female,866-05-7563,B,Mandalay,Member,Electronic accessories,81.4,3,12.21,256.41,244.2,,,,
Female,883-17-4236,C,Naypyitaw,Normal,Sports and travel,14.39,2,1.439,30.219,28.78,,,,
Female,850-41-9669,A,Yangon,Normal,Electronic accessories,75.06,9,33.777,709.317,675.54,,,,
Female,821-07-3596,C,Naypyitaw,Normal,Fashion accessories,16.45,4,3.29,69.09,65.8,,,,
Female,655-85-5130,B,Mandalay,Member,Fashion accessories,38.3,4,7.66,160.86,153.2,,,,
Female,447-15-7839,A,Yangon,Member,Sports and travel,22.24,10,11.12,233.52,222.4,,,,
Female,253-12-6086,A,Yangon,Member,Sports and travel,98.4,7,34.44,723.24,688.8,,,,
Female,571-94-0759,B,Mandalay,Member,Food and beverages,74.6,10,37.3,783.3,746,,,,
Female,731-14-2199,A,Yangon,Member,Home and lifestyle,35.54,10,17.77,373.17,355.4,,,,
Female,783-09-1637,B,Mandalay,Normal,Sports and travel,67.43,5,168.575,505.725,337.15,,,,
Female,687-15-1097,C,Naypyitaw,Member,Health and beauty,21.12,2,2.112,44.352,42.24,,,,
Female,126-54-1082,A,Yangon,Member,Home and lifestyle,21.54,9,9.693,203.553,193.86,,,,
Female,633-91-1052,A,Yangon,Normal,Home and lifestyle,12.03,2,1.203,25.263,24.06,,,,
Female,477-24-6490,B,Mandalay,Normal,Health and beauty,99.71,6,29.913,628.173,598.26,,,,
Female,526-86-8552,C,Naypyitaw,Member,Home and lifestyle,21.82,10,10.91,229.11,218.2,,,,
Female,376-56-3573,C,Naypyitaw,Normal,Fashion accessories,95.42,4,19.084,400.764,381.68,,,,
Female,136-08-6195,A,Yangon,Normal,Home and lifestyle,69.96,8,27.984,587.664,559.68,,,,
Female,490-29-1201,A,Yangon,Normal,Sports and travel,15.34,1,767,782.34,15.34,,,,
Female,565-17-3836,A,Yangon,Member,Health and beauty,47.67,4,9.534,200.214,190.68,,,,
Female,226-71-3580,C,Naypyitaw,Normal,Sports and travel,23.75,9,10.6875,224.4375,213.75,,,,
Female,283-79-9594,B,Mandalay,Normal,Food and beverages,48.51,7,169.785,509.355,339.57,,,,
Female,430-60-3493,A,Yangon,Member,Home and lifestyle,94.88,7,33.208,697.368,664.16,,,,
Female,278-97-7759,A,Yangon,Member,Electronic accessories,62.48,1,3.124,65.604,62.48,,,,
Female,316-68-6352,A,Yangon,Member,Food and beverages,36.36,2,3.636,76.356,72.72,,,,
Female,211-05-0490,C,Naypyitaw,Member,Electronic accessories,51.92,5,12.98,272.58,259.6,,,,
Female,779-06-0012,C,Naypyitaw,Member,Home and lifestyle,88.61,1,4.4305,93.0405,88.61,,,,
Female,439-54-7422,A,Yangon,Normal,Electronic accessories,51.19,4,10.238,214.998,204.76,,,,
Female,396-90-2219,B,Mandalay,Normal,Electronic accessories,14.96,8,5.984,125.664,119.68,,,,
Female,286-01-5402,A,Yangon,Normal,Sports and travel,40.23,7,140.805,422.415,281.61,,,,
Female,803-17-8013,A,Yangon,Member,Home and lifestyle,88.79,8,35.516,745.836,710.32,,,,
Female,512-98-1403,A,Yangon,Member,Electronic accessories,26.48,3,3.972,83.412,79.44,,,,
Female,848-42-2560,A,Yangon,Normal,Fashion accessories,81.91,2,8.191,172.011,163.82,,,,
Female,870-76-1733,A,Yangon,Member,Food and beverages,14.23,5,3.5575,74.7075,71.15,,,,
Female,423-64-4619,A,Yangon,Member,Health and beauty,15.55,9,6.9975,146.9475,139.95,,,,
Female,227-07-4446,C,Naypyitaw,Member,Electronic accessories,78.13,10,39.065,820.365,781.3,,,,
Female,428-83-5800,C,Naypyitaw,Member,Food and beverages,21.08,3,3.162,66.402,63.24,,,,
Female,704-20-4138,C,Naypyitaw,Member,Health and beauty,29.67,7,10.3845,218.0745,207.69,,,,
Female,649-11-3678,C,Naypyitaw,Normal,Food and beverages,22.93,9,10.3185,216.6885,206.37,,,,
Female,622-20-1945,C,Naypyitaw,Normal,Health and beauty,39.42,1,1.971,41.391,39.42,,,,
Female,563-91-7120,A,Yangon,Normal,Fashion accessories,61.77,5,154.425,463.275,308.85,,,,
Female,527-09-6272,A,Yangon,Member,Electronic accessories,28.45,5,7.1125,149.3625,142.25,,,,
Female,692-27-8933,B,Mandalay,Normal,Sports and travel,57.95,6,17.385,365.085,347.7,,,,
Female,633-09-3463,C,Naypyitaw,Normal,Electronic accessories,47.65,3,7.1475,150.0975,142.95,,,,
Female,374-17-3652,B,Mandalay,Member,Food and beverages,42.82,9,19.269,404.649,385.38,,,,
Female,433-75-6987,B,Mandalay,Member,Health and beauty,55.97,7,195.895,587.685,391.79,,,,
Female,873-95-4984,B,Mandalay,Member,Health and beauty,76.9,7,26.915,565.215,538.3,,,,
Female,416-13-5917,C,Naypyitaw,Normal,Food and beverages,97.03,5,242.575,727.725,485.15,,,,
Female,135-84-8019,A,Yangon,Normal,Fashion accessories,77.93,9,350.685,1052.055,701.37,,,,
Female,725-96-3778,C,Naypyitaw,Member,Home and lifestyle,89.25,8,35.7,749.7,714,,,,
Female,400-45-1220,B,Mandalay,Normal,Health and beauty,13.5,10,6.75,141.75,135,,,,
Female,860-79-0874,C,Naypyitaw,Member,Fashion accessories,99.3,10,49.65,1042.65,993,,,,
Female,115-99-4379,B,Mandalay,Member,Fashion accessories,54.73,7,191.555,574.665,383.11,,,,
Female,320-49-6392,C,Naypyitaw,Normal,Electronic accessories,30.24,1,1.512,31.752,30.24,,,,
Female,889-04-9723,B,Mandalay,Member,Food and beverages,89.14,4,17.828,374.388,356.56,,,,
Female,632-90-0281,C,Naypyitaw,Normal,Fashion accessories,37.55,10,18.775,394.275,375.5,,,,
Female,554-42-2417,C,Naypyitaw,Normal,Sports and travel,95.44,10,47.72,1002.12,954.4,,,,
Female,605-72-4132,C,Naypyitaw,Normal,Food and beverages,94.47,8,37.788,793.548,755.76,,,,
Female,272-27-9238,C,Naypyitaw,Normal,Food and beverages,41.24,4,8.248,173.208,164.96,,,,
Female,834-25-9262,C,Naypyitaw,Normal,Fashion accessories,81.68,4,16.336,343.056,326.72,,,,
Female,122-61-9553,C,Naypyitaw,Normal,Electronic accessories,51.32,9,23.094,484.974,461.88,,,,
Female,613-59-9758,C,Naypyitaw,Normal,Sports and travel,14.36,10,7.18,150.78,143.6,,,,
Female,201-86-2184,B,Mandalay,Member,Electronic accessories,26.26,7,9.191,193.011,183.82,,,,
Female,261-12-8671,B,Mandalay,Normal,Fashion accessories,60.96,2,6.096,128.016,121.92,,,,
Female,730-70-9830,C,Naypyitaw,Normal,Home and lifestyle,70.11,6,21.033,441.693,420.66,,,,
Female,422-29-8786,A,Yangon,Normal,Home and lifestyle,67.09,5,167.725,503.175,335.45,,,,
Female,667-23-5919,A,Yangon,Member,Fashion accessories,96.7,5,24.175,507.675,483.5,,,,
Female,843-01-4703,B,Mandalay,Member,Home and lifestyle,35.38,9,15.921,334.341,318.42,,,,
Female,182-69-8360,B,Mandalay,Normal,Electronic accessories,23.65,4,4.73,99.33,94.6,,,,
Female,462-78-5240,C,Naypyitaw,Normal,Electronic accessories,26.61,2,2.661,55.881,53.22,,,,
Female,868-52-7573,B,Mandalay,Normal,Food and beverages,99.69,5,249.225,747.675,498.45,,,,
Female,153-58-4872,C,Naypyitaw,Member,Food and beverages,74.89,4,14.978,314.538,299.56,,,,
Female,662-72-2873,A,Yangon,Normal,Food and beverages,40.94,5,10.235,214.935,204.7,,,,
Female,725-56-0833,A,Yangon,Normal,Health and beauty,32.32,10,16.16,339.36,323.2,,,,
Female,394-41-0748,C,Naypyitaw,Member,Fashion accessories,54.07,9,243.315,729.945,486.63,,,,
Female,541-89-9860,C,Naypyitaw,Member,Fashion accessories,80.48,3,12.072,253.512,241.44,,,,
Female,173-82-9529,B,Mandalay,Normal,Fashion accessories,37.95,10,18.975,398.475,379.5,,,,
Female,308-47-4913,A,Yangon,Member,Sports and travel,52.26,10,26.13,548.73,522.6,,,,
Female,885-17-6250,A,Yangon,Normal,Health and beauty,79.74,1,3.987,83.727,79.74,,,,
Female,726-27-2396,A,Yangon,Normal,Health and beauty,77.5,5,19.375,406.875,387.5,,,,
Female,316-01-3952,A,Yangon,Normal,Food and beverages,54.27,5,135.675,407.025,271.35,,,,
Female,793-10-3222,B,Mandalay,Member,Health and beauty,41.06,6,12.318,258.678,246.36,,,,
Female,110-05-6330,C,Naypyitaw,Normal,Food and beverages,39.43,6,11.829,248.409,236.58,,,,
Female,831-64-0259,B,Mandalay,Normal,Fashion accessories,39.75,5,9.9375,208.6875,198.75,,,,
Female,587-03-7455,C,Naypyitaw,Member,Fashion accessories,97.79,7,342.265,1026.795,684.53,,,,
Female,725-32-9708,B,Mandalay,Member,Fashion accessories,68.71,4,13.742,288.582,274.84,,,,
Female,256-08-8343,A,Yangon,Normal,Home and lifestyle,56.53,4,11.306,237.426,226.12,,,,
Female,372-26-1506,C,Naypyitaw,Normal,Fashion accessories,23.82,5,5.955,125.055,119.1,,,,
Female,244-08-0162,B,Mandalay,Normal,Health and beauty,34.21,10,17.105,359.205,342.1,,,,
Female,750-57-9686,C,Naypyitaw,Normal,Home and lifestyle,45.38,4,9.076,190.596,181.52,,,,
Female,186-09-3669,C,Naypyitaw,Member,Health and beauty,81.51,1,4.0755,85.5855,81.51,,,,
Female,848-07-1692,B,Mandalay,Normal,Health and beauty,57.22,2,5.722,120.162,114.44,,,,
Female,745-71-3520,A,Yangon,Member,Electronic accessories,25.22,7,8.827,185.367,176.54,,,,
Female,266-76-6436,C,Naypyitaw,Member,Food and beverages,38.6,3,5.79,121.59,115.8,,,,
Female,740-22-2500,C,Naypyitaw,Normal,Electronic accessories,84.05,3,12.6075,264.7575,252.15,,,,
Female,271-88-8734,C,Naypyitaw,Member,Fashion accessories,97.21,10,48.605,1020.705,972.1,,,,
Female,650-98-6268,B,Mandalay,Member,Food and beverages,20.87,3,3.1305,65.7405,62.61,,,,
Female,325-77-6186,A,Yangon,Member,Home and lifestyle,90.65,10,45.325,951.825,906.5,,,,
Female,459-50-7686,A,Yangon,Normal,Electronic accessories,23.46,6,7.038,147.798,140.76,,,,
Female,837-55-7229,B,Mandalay,Normal,Fashion accessories,47.44,1,2.372,49.812,47.44,,,,
Female,810-60-6344,C,Naypyitaw,Normal,Electronic accessories,40.86,8,16.344,343.224,326.88,,,,
Female,394-30-3170,B,Mandalay,Member,Sports and travel,88.43,8,35.372,742.812,707.44,,,,
Female,138-17-5109,A,Yangon,Member,Home and lifestyle,89.21,9,401.445,1204.335,802.89,,,,
Female,301-11-9629,A,Yangon,Normal,Sports and travel,19.1,7,6.685,140.385,133.7,,,,
Female,390-80-5128,B,Mandalay,Member,Health and beauty,19.15,1,9.575,28.725,19.15,,,,
Female,296-11-7041,B,Mandalay,Member,Health and beauty,27.07,1,1.3535,28.4235,27.07,,,,
Female,449-27-2918,B,Mandalay,Member,Sports and travel,39.12,1,1.956,41.076,39.12,,,,
Female,891-01-7034,B,Mandalay,Normal,Electronic accessories,74.71,6,22.413,470.673,448.26,,,,
Female,727-17-0390,A,Yangon,Normal,Food and beverages,63.61,5,159.025,477.075,318.05,,,,
Female,767-54-1907,B,Mandalay,Member,Fashion accessories,29.56,5,7.39,155.19,147.8,,,,
Female,710-46-4433,B,Mandalay,Member,Food and beverages,77.4,9,34.83,731.43,696.6,,,,
Female,325-90-8763,C,Naypyitaw,Member,Electronic accessories,46.57,10,23.285,488.985,465.7,,,,
Female,234-03-4040,B,Mandalay,Member,Food and beverages,73.05,10,36.525,767.025,730.5,,,,
Female,326-71-2155,C,Naypyitaw,Normal,Sports and travel,73.95,4,14.79,310.59,295.8,,,,
Female,320-32-8842,C,Naypyitaw,Member,Food and beverages,22.62,1,1.131,23.751,22.62,,,,
Female,878-30-2331,C,Naypyitaw,Member,Sports and travel,54.55,10,27.275,572.775,545.5,,,,
Female,440-59-5691,C,Naypyitaw,Member,Health and beauty,37.15,7,130.025,390.075,260.05,,,,
Female,233-34-0817,C,Naypyitaw,Member,Electronic accessories,98.84,1,4.942,103.782,98.84,,,,
Female,767-05-1286,C,Naypyitaw,Member,Home and lifestyle,83.77,6,25.131,527.751,502.62,,,,
Female,340-21-9136,A,Yangon,Member,Sports and travel,40.05,4,8.01,168.21,160.2,,,,
Female,676-39-6028,A,Yangon,Member,Electronic accessories,64.44,5,16.11,338.31,322.2,,,,
Female,485-30-8700,A,Yangon,Normal,Sports and travel,33.26,5,8.315,174.615,166.3,,,,
Female,246-11-3901,C,Naypyitaw,Normal,Electronic accessories,32.8,10,16.4,344.4,328,,,,
Female,493-65-6248,C,Naypyitaw,Member,Sports and travel,36.98,10,18.49,388.29,369.8,,,,
Female,438-01-4015,B,Mandalay,Member,Sports and travel,49.49,4,9.898,207.858,197.96,,,,
Female,709-58-4068,B,Mandalay,Normal,Fashion accessories,41.09,10,20.545,431.445,410.9,,,,
Female,627-95-3243,B,Mandalay,Member,Home and lifestyle,77.68,9,34.956,734.076,699.12,,,,
Female,686-41-0932,B,Mandalay,Normal,Fashion accessories,34.7,2,3.47,72.87,69.4,,,,
Female,510-09-5628,A,Yangon,Member,Fashion accessories,19.66,10,9.83,206.43,196.6,,,,
Female,608-04-3797,B,Mandalay,Member,Health and beauty,25.32,8,10.128,212.688,202.56,,,,
Female,148-82-2527,C,Naypyitaw,Member,Home and lifestyle,12.12,10,6.06,127.26,121.2,,,,
Female,556-97-7101,C,Naypyitaw,Normal,Electronic accessories,63.22,2,6.322,132.762,126.44,,,,
Female,862-59-8517,C,Naypyitaw,Normal,Food and beverages,90.24,6,27.072,568.512,541.44,,,,
Female,401-18-8016,B,Mandalay,Member,Sports and travel,98.13,1,4.9065,103.0365,98.13,,,,
Female,420-18-8989,A,Yangon,Member,Sports and travel,51.52,8,20.608,432.768,412.16,,,,
Female,573-98-8548,C,Naypyitaw,Member,Fashion accessories,31.9,1,1.595,33.495,31.9,,,,
Female,282-35-2475,B,Mandalay,Normal,Sports and travel,93.31,2,9.331,195.951,186.62,,,,
Female,387-49-4215,B,Mandalay,Member,Sports and travel,48.5,3,7.275,152.775,145.5,,,,
Female,862-17-9201,B,Mandalay,Normal,Food and beverages,84.05,6,25.215,529.515,504.3,,,,
Female,602-80-9671,C,Naypyitaw,Member,Home and lifestyle,15.95,6,4.785,100.485,95.7,,,,
Female,347-72-6115,B,Mandalay,Member,Sports and travel,90.74,7,31.759,666.939,635.18,,,,
Female,209-61-0206,A,Yangon,Normal,Home and lifestyle,42.91,5,10.7275,225.2775,214.55,,,,
Female,595-27-4851,A,Yangon,Normal,Fashion accessories,54.28,7,18.998,398.958,379.96,,,,
Female,413-20-6708,C,Naypyitaw,Member,Fashion accessories,51.47,1,2.5735,54.0435,51.47,,,,
Female,734-91-1155,B,Mandalay,Normal,Electronic accessories,45.71,3,6.8565,143.9865,137.13,,,,
Female,451-28-5717,C,Naypyitaw,Member,Home and lifestyle,83.17,6,24.951,523.971,499.02,,,,
Female,609-81-8548,A,Yangon,Member,Home and lifestyle,37.44,6,11.232,235.872,224.64,,,,
Female,719-89-8991,A,Yangon,Member,Sports and travel,91.41,5,228.525,685.575,457.05,,,,
Female,827-44-5872,B,Mandalay,Member,Food and beverages,54.36,10,27.18,570.78,543.6,,,,
Female,236-27-1144,C,Naypyitaw,Normal,Food and beverages,16.31,9,7.3395,154.1295,146.79,,,,
Female,892-05-6689,A,Yangon,Normal,Home and lifestyle,28.32,5,7.08,148.68,141.6,,,,
Female,339-12-4827,B,Mandalay,Member,Fashion accessories,73.96,1,3.698,77.658,73.96,,,,
Female,308-81-0538,A,Yangon,Normal,Fashion accessories,73.05,4,14.61,306.81,292.2,,,,
Female,358-88-9262,C,Naypyitaw,Member,Food and beverages,87.48,6,26.244,551.124,524.88,,,,
Female,173-50-1108,B,Mandalay,Member,Sports and travel,20.18,4,4.036,84.756,80.72,,,,
